Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Not Found,25.990.000đ,"Intel Core i7-12700H (2.3 GHz, 24M Cache, up to 4.7 GHz, 14 lõi: 6 P-cores, 8 E-cores)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zu4-lp054w.html
Not Found,57.990.000đ,"AMD Ryzen 9 8945HS 4GHz (24MB Cache, up to 5.2 GHz, 8 lõi, 16 luồng)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6  AMD Radeon Graphics,1 TB PCIe 4.0 NVMe M.2 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga403uv-qs171w.html
Not Found,16.390.000đ,Intel Core i5 10210U 1.6Ghz-6Mb,8GB,Nvidia MX250 2GB DDR5,512GB SSD M.2 PCIE G3X2,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-a512fl.html
Not Found,22.590.000đ,"Intel® Core™ i5-1135G7 Processor, 2.40GHz up to 4.20GHz, 4 nhân 8 luồng, 8MB Intel® Smart Cache",8GB,Intel® Iris® Xe Graphics,512GB SSD PCIe,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea.html
Not Found,10.990.000đ,"AMD Ryzen 3 3200U ( 2.6 GHz - 3.5 GHz / 4MB / 2 nhân, 4 luồng )",,AMD Radeon Vega 3 Graphics,256GB SSD M.2 NVMe,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-a512da.html
Not Found,38.790.000đ,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB,Intel Iris Xe Graphics,1TB M.2 PCIe® NVMe™ 3.0 x4,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-flip-s-13-ux371ea.html
Not Found,23.990.000đ,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,8GB,Intel Iris Xe Graphics,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux435ea-i5-ram-8gb.html
Not Found,145.990.000đ,"Intel Core Ultra 9 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 lõi, 24 luồng)",64GB,"NVIDIA GeForce RTX 5090 24GB GDDR7 ROG Boost: 1647MHz* at 175W (1597MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)",2TB + 2TB PCIe 4.0 NVMe M.2 Performance SSD (RAID 0),18 inches,2560 x 1600 pixels (2.5K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-18-g835lx-sa193w.html
Not Found,141.990.000đ,"Intel Core Ultra 9 275HX 2.7 GHz (36MB Cache, up to 5.4 GHz, 24 lõi, 24 luồng)",64GB,"NVIDIA GeForce RTX 5090 24GB GDDR7 ROG Boost: 1647MHz* at 175W (1597MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost) Intel UHD Graphics",2TB + 2TB PCIe 4.0 NVMe M.2 Performance SSD (RAID 0),16 inches,2560 x 1600 pixels (2.5K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-scar-16-g635lx-rw179w.html
Not Found,19.400.000đ,"AMD Ryzen 5-5500U, tốc độ 2.1GHz tối đa lên đến 4.0GHz, 8MB bộ nhớ đệm",8GB,AMD Radeon™ Graphics,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-um425ua.html
