Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop ASUS TUF Gaming A16 Advantage Edition FA617NS-N3486W,22.390.000đ,"AMD Ryzen 7-7735HS (8 lõi/16 luồng, 16MB L3 cache, up to 4.7 GHz max boost)",8GB,AMD Radeon™ RX 7600S 8GB GDDR6,512GB PCIe 4.0 NVMe M.2 SSD (2 khe cắm M.2 hỗ trợ SATA hoặc NVMe),16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617ns-n3486w.html
Laptop Asus Rog Flow X13 GV301QC K6082T,36.990.000đ,"AMD Ryzen™ 9 5900HS (8 lõi/16 luồng, Up to 4.6 GHz, 20MB)",16GB,NVIDIA® GeForce RTX™ 3050 4GB,512 GB M.2 2230 NVMe™ PCIe® 3.0 SSD,13.4 inches,1920 x 1200 pixels (FullHD+),,,,https://cellphones.com.vn/laptop-asus-rog-flow-x13-gv301qc-k6082t.html
Laptop ASUS VivoBook 15X A1503ZA-L1422W,16.490.000đ,Intel Core i5-12500H,8GB,Intel Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15x-a1503za-l1422w.html
Laptop ASUS ExpertBook B5 Flip B5302FEA-LG0478T,22.490.000đ,"Intel® Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)",8GB,Intel Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-expertbook-b5-flip-b5302fea-lg0478t.html
Laptop ASUS Gaming ROG Zephyrus G15 GA503RM-LN006W,37.990.000đ,AMD Ryzen 7 6800HS,16GB,NVIDIA® GeForce RTX 3060,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,2560 x 1440 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g15-ga503rm-ln006w.html
Laptop ASUS TUF Dash Gaming F15 FX516PC-HN558W,17.990.000đ,Intel Core i5-11300H,8GB,NVIDIA GeForce RTX 3050 4GB GDDR6,512GB M.2 NVMe™ PCIe® 3.0 SSD (1 khe trống PCIe),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-gaming-f15-fx516pc-hn558w.html
Laptop ASUS ZenBook Flip UX363EA,21.990.000đ,"Intel® Core™ i5-1135G7, 4.20Ghz, 8 MB cache, 4 cores 8 threads",8GB,Intel® Iris® Xe Graphics,512GB PCIe® NVMe™ 3.0 x2 M.2 SSD,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-flip-13-ux363ea.html
Laptop Asus TUF Gaming F15 FX506HC-HN002T,24.390.000đ,Intel Core i5-11400H 2.7GHz up to 4.5GHz 12MB,8GB,NVIDIA® GeForce RTX™ 3050 4GB,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hc-hn002t.html
Laptop ASUS VivoBook 15 OLED A1505VA-L1201W,21.490.000đ,"Intel Core i9-13900H 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 lõi / 20 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1201w.html
Laptop ASUS TUF Gaming A15 FA506IHRB-HN080W,15.990.000đ,AMD Ryzen™ 5 4600H Mobile Processor,8GB,NVIDIA® GeForce GTX™ 1650AMD Radeon™ Graphics,512GB SSD M2 + 1 khe SSD M2 trống,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506ihrb-hn080w.html
Laptop Asus Zenbook 17 Fold OLED UX9702AA-MD014W,82.490.000đ,"Intel Core i7-1250U 1.1 GHz (12M Cache, up to 4.7 GHz, 2P + 8E cores)",16GB,Intel Iris Xe Graphics,1TB M.2 NVMe PCIe 4.0 SSD,17.3 inches,,,,,https://cellphones.com.vn/laptop-asus-zenbook-17-fold-oled-ux9702aa-md014w.html
Laptop ASUS Gaming FX506LU-HN138T,25.480.000đ,"Intel® Core™ I7-10870H, 2.20GHz upto 5.00GHz, 16 MB cache, 8 cores 16 threads",8GB,NVIDIA Geforce GTX 1660Ti 6GB GDDR6,"512GB SSD M.2 PCIE G3X2, 1x slot SATA3 2.5""",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506lu.html
Laptop Asus E210MA GJ537W - Chỉ có tại CellphoneS,4.490.000đ,Intel Celeron N4020,4GB,UHD Graphics 600,128G eMMC,11.6 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-e210ma-gj537w.html
Laptop ASUS VivoBook X415EA-EK675T,13.290.000đ,"Intel® Core™ i3-1115G4, upto 4.10GHz, 2 cores 4 threads, 6MB Cache",4GB,Intel® UHD Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ea-ek675t.html
Laptop Asus TUF Gaming F15 FX507ZE-HN093W,24.790.000đ,"Intel® Core™ i7-12700H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 14 cores: 6 P-cores and 8 E-cores)",8GB,NVIDIA® GeForce RTX™ 3050 Ti Laptop GPU,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507ze-hn093w.html
